Voronoi_areas,Voronoi_perim
"[4.483, 2.778, 3.371, 2.957, 3.141, 3.191, 3.677, 3.363, 3.72, 5.628, 4.385, 2.73, 4.059, 4.89, 4.543, 3.665, 4.29, 3.62, 13.866, 3.953, 5.58, 11.91, 6.502, 2.47, 12.21, 4.315, 6.389, 4.505, 6.723, 3.948, 10.176]","[67.058, 46.493, 53.175, 52.417, 55.51, 54.237, 56.185, 52.24, 61.96, 107.868, 65.381, 50.336, 90.048, 77.399, 74.192, 78.887, 74.312, 55.83, 215.125, 98.857, 107.059, 174.347, 109.168, 42.028, 177.992, 90.662, 142.408, 81.207, 126.065, 97.826, 178.231]"
"[3.799, 3.794, 4.269, 2.551, 3.945, 3.423, 3.165, 8.64, 7.402, 2.699, 3.854, 4.521, 6.909, 4.467, 2.035, 6.589, 7.575, 6.982, 7.453, 2.675, 10.615, 3.325, 9.659]","[59.944, 60.713, 63.722, 42.912, 62.418, 50.616, 48.051, 145.529, 126.309, 39.116, 70.453, 70.312, 106.664, 68.298, 35.636, 112.492, 136.021, 110.704, 124.601, 53.727, 189.358, 72.135, 162.002]"
"[4.089, 3.659, 2.545, 4.42, 3.18, 3.134, 4.622, 8.433, 8.888, 4.421, 2.953, 4.207, 4.421, 3.511, 8.287, 9.279, 6.641, 4.394, 3.543, 8.148, 8.007, 9.567]","[60.882, 52.473, 42.267, 64.474, 47.657, 68.057, 68.657, 163.513, 152.911, 83.191, 51.427, 82.958, 79.77, 80.237, 137.21, 157.874, 122.91, 95.334, 61.211, 166.165, 166.303, 175.5]"
"[4.418, 4.164, 3.605, 4.76, 3.249, 2.928, 3.29, 4.188, 8.837, 5.306, 3.576, 3.229, 11.082, 5.93, 2.659, 9.267, 3.582, 5.938, 3.147, 11.057, 6.587, 3.356, 6.359, 3.908]","[69.058, 64.426, 59.305, 70.459, 46.538, 44.639, 55.622, 79.953, 179.501, 118.607, 57.691, 53.455, 223.033, 97.829, 50.188, 184.949, 57.866, 102.989, 57.693, 222.589, 114.061, 80.666, 115.969, 109.41]"
"[5.841, 4.374, 5.387, 3.281, 2.85, 6.29, 4.691, 4.162, 3.695, 3.894, 4.879, 5.222, 3.458, 9.37, 10.771, 4.659, 8.465, 8.398, 4.678, 5.427, 5.897, 4.658]","[84.962, 72.739, 82.287, 56.375, 45.266, 105.833, 71.65, 65.218, 65.584, 64.447, 84.931, 86.229, 61.376, 140.927, 164.562, 79.25, 129.551, 132.221, 99.044, 133.103, 119.298, 89.768]"
"[4.529, 3.636, 3.007, 3.048, 4.618, 3.1, 2.264, 5.427, 3.272, 2.844, 3.148, 3.619, 5.422, 2.093, 4.099, 5.02, 4.799, 4.067, 2.777, 2.931, 2.028, 2.906, 13.18, 2.895, 3.774, 2.635, 2.602, 4.362, 9.496, 3.496, 12.053, 4.044, 5.769, 5.042, 5.197, 3.474, 7.382, 2.712, 8.697, 5.806, 4.676, 10.756, 8.1, 4.454, 4.068, 4.543]","[74.371, 66.231, 52.335, 47.587, 76.924, 61.224, 39.518, 78.417, 49.458, 43.76, 47.649, 61.254, 83.223, 36.745, 59.208, 74.301, 72.918, 67.946, 42.674, 47.685, 32.616, 43.3, 238.523, 49.136, 62.371, 46.225, 53.927, 71.336, 174.471, 56.659, 233.365, 92.457, 100.209, 120.957, 80.926, 68.076, 135.302, 47.053, 232.03, 101.71, 109.372, 155.194, 172.464, 124.619, 102.865, 97.451]"
"[4.507, 4.424, 4.038, 4.973, 3.5, 4.33, 2.358, 3.655, 3.349, 3.826, 3.793, 4.109, 9.89, 7.654, 3.892, 9.87, 8.1, 8.061, 3.515, 7.545, 4.446, 5.493, 5.697, 3.397]","[70.589, 65.596, 64.792, 87.688, 62.899, 72.18, 46.127, 73.04, 68.21, 66.931, 58.975, 101.162, 180.286, 140.57, 63.389, 205.985, 142.904, 133.368, 67.866, 156.703, 94.891, 103.363, 131.77, 81.348]"
"[3.785, 2.829, 2.591, 4.118, 3.626, 2.215, 3.86, 3.964, 4.337, 4.8, 2.907, 2.937, 2.697, 5.324, 5.687, 3.179, 4.02, 4.899, 5.72, 8.834, 3.378, 5.49, 12.244, 4.743, 10.552, 6.008, 5.034, 9.56, 10.635, 13.245, 5.942]","[59.161, 42.217, 40.202, 63.786, 54.01, 35.991, 60.979, 59.011, 65.468, 78.144, 44.368, 52.823, 47.98, 104.963, 107.628, 51.636, 63.345, 85.095, 100.769, 143.354, 62.909, 89.494, 204.475, 85.61, 178.171, 103.196, 92.311, 217.811, 162.842, 218.418, 150.727]"
"[3.813, 3.678, 3.596, 2.917, 4.758, 5.944, 4.324, 3.739, 3.013, 3.685, 2.494, 6.429, 2.602, 3.396, 5.424, 3.554, 5.641, 12.045, 7.506, 8.465, 4.93, 3.886, 5.069, 5.003, 6.032, 7.312, 5.288, 4.05, 2.112]","[57.694, 53.612, 67.175, 44.619, 76.554, 84.553, 63.358, 56.733, 52.866, 55.575, 38.249, 143.446, 56.956, 54.086, 87.141, 54.226, 95.955, 186.236, 146.804, 155.319, 111.078, 65.902, 86.845, 107.173, 116.594, 142.946, 124.605, 87.339, 43.53]"
"[3.858, 3.909, 5.313, 4.993, 3.153, 2.892, 5.699, 6.937, 7.984, 8.792, 3.923, 14.066, 8.075, 6.914, 4.84, 2.424, 3.536, 2.448, 8.115, 6.623, 2.194, 7.734]","[59.24, 64.864, 82.409, 78.541, 53.943, 46.102, 105.595, 99.828, 140.918, 167.587, 65.314, 217.526, 125.581, 115.128, 86.06, 44.845, 57.323, 45.088, 126.937, 125.564, 37.967, 126.653]"
